path,id,guid,guid_status,title,has_title,has_created,has_fm_version,has_fm,missing_keys,extra_keys,errors
content/docs/sk/7Ds/01-7ds_PlatobnyPortal/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/7Ds/index.md,,,missing,,0,0,0,1,,,
content/docs/sk/about.md,,,missing,,0,0,0,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/class-sthdf/about/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/class-sthdf/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/class-sthdf/showcase/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/conditions/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/presentation/slides.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/01-business/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/01-business/notes.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/02-top-level-architecture/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/03-solution-architecture/design.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/03-solution-architecture/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/04-analysis/backlog.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/04-analysis/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/05-design/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/05-design/prototype.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/06-implementation/code-links.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/06-implementation/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/07-testing-verification/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/07-testing-verification/test-report.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/08-operation/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/08-operation/operations.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/09-Change-Management/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ001/sdlc/index.md,,,missing,,0,0,1,1,,,
content/docs/sk/class_sthdf_dashboard/01-class_sthdf_dashboard_2025-2026/projects/PRJ002/index.md,,,missing,,0,0,1,1,,,
